4.5	4.636176471
4.6	4.525882353
4.6	4.636176471
4.6	4.525882353
4.7	4.525882353
4.7	4.636176471
4.7	4.636176471
4.7	4.636176471
4.7	4.415588235
4.7	4.415588235
4.7	4.525882353
4.7	4.525882353
4.7	4.415588235
4.8	4.195
4.8	4.636176471
4.8	4.746470588
4.8	4.636176471
4.8	4.636176471
4.8	4.746470588
4.8	4.636176471
4.8	4.525882353
4.8	4.636176471
4.8	4.636176471
4.8	4.636176471
4.8	4.636176471
4.8	4.415588235
4.8	4.525882353
4.8	4.746470588
4.8	4.636176471
4.8	4.636176471
4.8	4.525882353
4.8	4.746470588
4.8	4.636176471
4.8	4.415588235
4.8	4.636176471
4.8	4.415588235
4.8	4.415588235
4.8	4.636176471
4.8	4.525882353
4.8	4.525882353
4.8	4.415588235
4.8	4.636176471
4.9	4.746470588
4.9	5.077352941
4.9	4.746470588
4.9	4.856764706
4.9	4.746470588
4.9	4.636176471
4.9	4.746470588
4.9	4.525882353
4.9	4.856764706
4.9	4.415588235
4.9	4.636176471
4.9	4.967058824
4.9	4.967058824
4.9	4.856764706
4.9	4.856764706
4.9	4.636176471
4.9	4.636176471
4.9	4.636176471
4.9	4.525882353
4.9	4.636176471
4.9	4.415588235
4.9	4.746470588
4.9	4.525882353
4.9	4.856764706
4.9	4.415588235
4.9	4.525882353
4.9	4.525882353
4.9	4.525882353
4.9	4.636176471
4.9	4.636176471
4.9	4.525882353
4.9	4.636176471
4.9	4.856764706
4.9	4.636176471
4.9	4.636176471
5	4.967058824
5	5.187647059
5	5.408235294
5	4.746470588
5	4.746470588
5	4.967058824
5	4.856764706
5	4.856764706
5	5.077352941
5	4.856764706
5	4.636176471
5	4.525882353
5	4.746470588
5	4.415588235
5	4.636176471
5	4.856764706
5	4.525882353
5	4.746470588
5	4.856764706
5	4.636176471
5	4.856764706
5	4.746470588
5	4.636176471
5	4.967058824
5	4.856764706
5	4.525882353
5	4.636176471
5	4.415588235
5	4.525882353
5	4.746470588
5	4.525882353
5	4.746470588
5	4.636176471
5	4.856764706
5	4.746470588
5	4.967058824
5	4.525882353
5	4.525882353
5	4.525882353
5	4.525882353
5	4.525882353
5	4.636176471
5	4.636176471
5	4.746470588
5	4.746470588
5	4.636176471
5	4.636176471
5	4.525882353
5	4.636176471
5	4.746470588
5.1	5.077352941
5.1	4.746470588
5.1	4.746470588
5.1	5.077352941
5.1	4.856764706
5.1	5.077352941
5.1	4.856764706
5.1	4.967058824
